CustomerID,Total_Orders,Total_Quantity,Total_Spending,Average_Order_Value,Average_Unit_Price,Average_Items_In_Cart,First_Purchase,Last_Purchase,Customer_Tenure,Days_Since_Last_Order,Purchase_Frequency,Favorite_Product,Preferred_Payment,Preferred_Referral,Cluster
C10002,1,3.0,1470.03,1470.03,490.01,4.0,2023-10-16,2023-10-16,623,623,0.0,Printer,Cash,Facebook,1
C10054,1,2.0,153.48,153.48,76.74,7.0,2024-10-14,2024-10-14,259,259,0.0,Laptop,Cash,Instagram,0
C10126,1,2.0,1349.8,1349.8,674.9,4.0,2023-06-18,2023-06-18,743,743,0.0,Monitor,Online,Facebook,6
C10154,1,4.0,1303.04,1303.04,325.76,8.0,2024-07-29,2024-07-29,336,336,0.0,Desk,Gift Card,Email,7
C10211,1,5.0,635.9,635.9,127.18,10.0,2024-05-09,2024-05-09,417,417,0.0,Desk,Debit Card,Google,7
C10222,1,1.0,204.08,204.08,204.08,4.0,2023-09-27,2023-09-27,642,642,0.0,Laptop,Gift Card,Google,0
C10477,1,1.0,466.42,466.42,466.42,5.0,2023-05-03,2023-05-03,789,789,0.0,Laptop,Gift Card,Email,0
C10642,1,2.0,922.74,922.74,461.37,5.0,2024-06-12,2024-06-12,383,383,0.0,Tablet,Cash,Google,3
C10787,1,4.0,1099.28,1099.28,274.82,9.0,2023-10-23,2023-10-23,616,616,0.0,Monitor,Debit Card,Email,6
C10791,1,1.0,355.09,355.09,355.09,5.0,2023-12-20,2023-12-20,558,558,0.0,Desk,Debit Card,Instagram,7
C10866,1,3.0,789.57,789.57,263.19,5.0,2023-12-26,2023-12-26,552,552,0.0,Monitor,Online,Instagram,6
C10892,1,2.0,754.94,754.94,377.47,7.0,2024-07-20,2024-07-20,345,345,0.0,Desk,Cash,Google,7
C11127,1,5.0,1306.65,1306.65,261.33,5.0,2024-08-28,2024-08-28,306,306,0.0,Chair,Credit Card,Referral,1
C11210,1,5.0,454.6,454.6,90.92,9.0,2024-09-09,2024-09-09,294,294,0.0,Chair,Credit Card,Facebook,1
C11415,1,5.0,2876.2,2876.2,575.24,7.0,2024-03-15,2024-03-15,472,472,0.0,Monitor,Cash,Email,5
C11473,1,2.0,146.82,146.82,73.41,2.0,2023-12-28,2023-12-28,550,550,0.0,Printer,Online,Google,1
C11644,1,1.0,46.66,46.66,46.66,6.0,2023-07-21,2023-07-21,710,710,0.0,Printer,Cash,Google,1
C11657,1,4.0,264.4,264.4,66.1,9.0,2023-12-10,2023-12-10,568,568,0.0,Tablet,Cash,Google,3
C11665,1,3.0,337.38,337.38,112.46,6.0,2023-04-28,2023-04-28,794,794,0.0,Tablet,Gift Card,Instagram,3
C11676,1,2.0,929.0,929.0,464.5,2.0,2025-06-11,2025-06-11,19,19,0.05,Monitor,Online,Instagram,6
C11829,1,2.0,279.14,279.14,139.57,4.0,2025-05-04,2025-05-04,57,57,0.02,Desk,Cash,Facebook,7
C11849,1,2.0,476.5,476.5,238.25,7.0,2024-10-27,2024-10-27,246,246,0.0,Tablet,Online,Email,3
C11893,1,5.0,1582.0,1582.0,316.4,7.0,2024-09-20,2024-09-20,283,283,0.0,Laptop,Gift Card,Email,0
C11906,1,3.0,1237.59,1237.59,412.53,6.0,2025-01-01,2025-01-01,180,180,0.01,Printer,Online,Google,1
C11921,1,1.0,452.7,452.7,452.7,5.0,2024-11-29,2024-11-29,213,213,0.0,Phone,Debit Card,Instagram,2
C11940,1,3.0,448.02,448.02,149.34,7.0,2023-09-05,2023-09-05,664,664,0.0,Tablet,Gift Card,Email,3
C11985,1,1.0,30.44,30.44,30.44,1.0,2023-10-07,2023-10-07,632,632,0.0,Printer,Credit Card,Email,1
C11998,1,3.0,1495.98,1495.98,498.66,6.0,2025-02-16,2025-02-16,134,134,0.01,Chair,Cash,Email,5
C12039,1,1.0,132.68,132.68,132.68,1.0,2023-12-12,2023-12-12,566,566,0.0,Laptop,Debit Card,Referral,0
C12245,1,2.0,815.58,815.58,407.79,3.0,2023-05-17,2023-05-17,775,775,0.0,Monitor,Debit Card,Google,6
C12301,1,1.0,531.74,531.74,531.74,1.0,2023-09-11,2023-09-11,658,658,0.0,Tablet,Online,Google,3
C12388,1,5.0,2683.6,2683.6,536.72,10.0,2023-05-01,2023-05-01,791,791,0.0,Tablet,Cash,Email,5
C12408,1,2.0,161.54,161.54,80.77,4.0,2023-08-26,2023-08-26,674,674,0.0,Monitor,Debit Card,Google,6
C12421,1,1.0,93.02,93.02,93.02,4.0,2023-04-28,2023-04-28,794,794,0.0,Tablet,Online,Email,3
C12444,1,3.0,230.88,230.88,76.96,8.0,2024-09-17,2024-09-17,286,286,0.0,Phone,Cash,Email,2
C12459,1,2.0,284.16,284.16,142.08,4.0,2024-09-06,2024-09-06,297,297,0.0,Phone,Gift Card,Referral,2
C12472,1,3.0,252.93,252.93,84.31,3.0,2024-02-25,2024-02-25,491,491,0.0,Chair,Credit Card,Email,1
C12479,1,5.0,124.1,124.1,24.82,10.0,2023-10-02,2023-10-02,637,637,0.0,Monitor,Credit Card,Referral,6
C12487,1,3.0,1427.07,1427.07,475.69,3.0,2024-01-08,2024-01-08,539,539,0.0,Tablet,Gift Card,Google,3
C12607,1,1.0,281.52,281.52,281.52,6.0,2023-04-05,2023-04-05,817,817,0.0,Desk,Gift Card,Referral,7
C12609,1,4.0,547.32,547.32,136.83,8.0,2023-11-26,2023-11-26,582,582,0.0,Phone,Debit Card,Email,2
C12667,1,1.0,223.3,223.3,223.3,1.0,2025-04-20,2025-04-20,71,71,0.01,Laptop,Online,Facebook,0
C12740,1,5.0,644.75,644.75,128.95,10.0,2023-09-21,2023-09-21,648,648,0.0,Desk,Cash,Instagram,7
C12813,1,5.0,1462.7,1462.7,292.54,8.0,2025-03-15,2025-03-15,107,107,0.01,Laptop,Debit Card,Email,0
C12818,1,3.0,191.04,191.04,63.68,6.0,2023-12-13,2023-12-13,565,565,0.0,Chair,Cash,Facebook,1
C13100,1,4.0,1177.64,1177.64,294.41,4.0,2023-12-18,2023-12-18,560,560,0.0,Desk,Debit Card,Instagram,7
C13108,1,5.0,3293.85,3293.85,658.77,10.0,2024-04-25,2024-04-25,431,431,0.0,Laptop,Gift Card,Instagram,5
C13169,1,1.0,536.07,536.07,536.07,5.0,2023-11-15,2023-11-15,593,593,0.0,Tablet,Debit Card,Google,3
